DEPTO_HECHO;MUNICIPIO_HECHO;FECHA_HECHO;;DESCRIPCION_CONDUCTA;MODALIDAD;CLASE_SITIO;ZONA;GENERO;PAIS_PERSONA;CARGO_PERSONA;;;Etapa;;;
ANTIOQUIA;ENVIGADO;03/14/2020 12:00:00 AM;;ARTÍCULO 111. LESIONES PERSONALES;RIÑAS;AEROPUERTO;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Tercera_edad;;;
ANTIOQUIA;ENVIGADO;10/13/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;FEMENINO;ESTADOS UNIDOS;TURISTA EXTRANJERO;;;Tercera_edad;;;
ANTIOQUIA;GIRARDOTA;1/07/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;SUPL. DIJIN-SIJIN;VIAS PUBLICAS;URBANA;FEMENINO;PERU;TURISTA EXTRANJERO;;;Tercera_edad;;;
ANTIOQUIA;MEDELLÍN (CT);1/07/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;PARQUES;URBANA;FEMENINO;PORTUGAL;TURISTA EXTRANJERO;;;Tercera_edad;;;
ANTIOQUIA;MEDELLÍN (CT);3/01/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;ESTACION DEL METRO;URBANA;MASCULINO;FRANCIA;TURISTA EXTRANJERO;;;Tercera_edad;;;
ANTIOQUIA;MEDELLÍN (CT);02/23/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;FACTOR DE OPORTUNIDAD;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;FEMENINO;ECUADOR;TURISTA EXTRANJERO;;;Tercera_edad;;;
ANTIOQUIA;MEDELLÍN (CT);2/08/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;MASCULINO;VENEZUELA;TURISTA EXTRANJERO;;;Tercera_edad;;;
ANTIOQUIA;MEDELLÍN (CT);09/25/2020 12:00:00 AM;;ARTÍCULO 239. HURTO PERSONAS;COSQUILLEO;VIAS PUBLICAS;URBANA;FEMENINO;FRANCIA;TURISTA EXTRANJERO;;;Tercera_edad;;;
ANTIOQUIA;MEDELLÍN (CT);02/15/2020 12:00:00 AM;;ARTÍCULO 246. ESTAFA;ENGAÑO;HOTELES, RESIDENCIAS, Y SIMILARES.;URBANA;MASCULINO;FRANCIA;TURISTA EXTRANJERO;;;Tercera_edad;;;
ANTIOQUIA;MEDELLÍN (CT);2/03/2020 0:00;;ARTÍCULO 239. HURTO PERSONAS;RAPONAZO;VIAS PUBLICAS;URBANA;FEMENINO;COLOMBIA;TURISTA NACIONAL;;;Tercera_edad;;;
